Locus_id,Gene,Number of bases,Number of SNPs,Number of silent SNPs,Number of non-silent SNPs,Density (SNPs/bp),P-value,Product,Functional category,Subcellular localization,Bvg regulation
BP2594,-,1515,2,1,1,0.00132,1.5044,"ABC transport protein, solute binding component",transport/binding proteins,Periplasmic,
BP1128,fabG,759,1,1,0,0.00132,1.4993,3-oxoacyl-[acyl-carrier protein] reductase,fatty acid metabolism,Cytoplasmic,
BP1340,-,759,1,0,1,0.00132,1.4983,conserved hypothetical protein,conserved hypothetical,Cytoplasmic,
BP1899,-,759,1,0,1,0.00132,1.4973,putative transcriptional regulator,regulation,Cytoplasmic,
BP2583,-,759,1,1,0,0.00132,1.4963,hypothetical protein,unknown,Unknown,
BP2770,-,759,1,1,0,0.00132,1.4954,probable short-chain dehydrogenase,central/intermediary metabolism,Cytoplasmic,
BP1102,asuD,1521,2,1,1,0.00131,1.5035,lysyl-tRNA synthetase,macromolecule synthesis/modification,Cytoplasmic,
BP2157,acoD,1521,2,1,1,0.00131,1.5025,aldehyde dehydrogenase,central/intermediary metabolism,Cytoplasmic,
BP2204,-,762,1,0,1,0.00131,1.4968,putative outer membrane (scaffolding) protein,cell surface,Unknown,
BP1064,maeB,2289,3,2,1,0.00131,1.5006,NADP-dependent malic enzyme,central/intermediary metabolism,Cytoplasmic,
BP3444,aat,763,1,0,1,0.00131,1.4960,putative leucyl/phenylalanyl-tRNA--protein transferase (Pseudogene),pseudogenes (phase-variable),ND,
BP3456,maeB,2289,3,1,2,0.00131,1.4995,NADP-dependent malic enzyme,central/intermediary metabolism,Cytoplasmic,
BP2749,putA,3822,5,2,3,0.00131,1.5188,bifunctional proline oxidoreductase/transcriptional repressor,small molecule degradation,Cytoplasmic,
BP2061,-,765,1,0,1,0.00131,1.4964,putative gntR-family transcriptional regulator,regulation,Cytoplasmic,
BP2088,-,765,1,1,0,0.00131,1.4954,putative ABC-transporter permease component (pseudogene),pseudogenes,ND,
BP2323,-,765,1,0,1,0.00131,1.4944,conserved hypothetical membrane protein,conserved hypothetical,Cytoplasmic Membrane,
BP3605,-,765,1,0,1,0.00131,1.4934,conserved hypothetical protein,unknown,Cytoplasmic,
BP3681,glcC,766,1,0,1,0.00131,1.4936,GntR-family transcriptional regulator (pseudogene),pseudogenes,ND,
BP1383,flaT,1533,2,1,1,0.00130,1.5017,flagellar hook-associated protein 3,cell processes,Extracellular,
BP2599,-,1533,2,1,1,0.00130,1.5007,putative GntR-family transcriptional regulator,regulation,Unknown,
BP1362,-,767,1,0,1,0.00130,1.4928,"putative amino-acid ABC transporter, ATP-binding protein",transport/binding proteins,Cytoplasmic Membrane,+
BP3045,-,767,1,0,1,0.00130,1.4918,putative exported protein (Pseudogene),pseudogenes,ND,
BP3162,-,1541,2,1,1,0.00130,1.4984,putative ABC transpoter ATP-binding protein (pseudogene),pseudogenes,ND,
BP1581,-,771,1,0,1,0.00130,1.4954,putative oxidoreductase,miscellaneous,Unknown,-
BP1951,-,771,1,0,1,0.00130,1.4944,putative ATP-binding component of ABC transporter,transport/binding proteins,Cytoplasmic Membrane,
BP2268,-,1542,2,1,1,0.00130,1.4983,methyl-accepting chemotaxis protein,cell processes,Cytoplasmic Membrane,
BP3675,-,771,1,0,1,0.00130,1.4934,ABC transport system permease protein,transport/binding proteins,Cytoplasmic Membrane,
BP3676,-,771,1,1,0,0.00130,1.4925,ABC transporter ATP-binding protein,transport/binding proteins,Cytoplasmic Membrane,
BP1266,parC,2316,3,2,1,0.00130,1.5007,topoisomerase IV subunit A,macromolecule synthesis/modification,Cytoplasmic,
BP2292,-,1545,2,2,0,0.00129,1.4998,putative transcriptional regulator,regulation,Cytoplasmic,
BP1002,envM,774,1,0,1,0.00129,1.4948,enoyl-[acyl-carrier-protein] reductase [NADH],fatty acid metabolism,Cytoplasmic Membrane,+
BP1434,-,774,1,0,1,0.00129,1.4939,putative RNA methyltransferase,macromolecule synthesis/modification,Cytoplasmic,
BP1709,-,774,1,0,1,0.00129,1.4929,putative permease of ABC transporter,transport/binding proteins,Cytoplasmic Membrane,+
BP1841,trmD,774,1,1,0,0.00129,1.4920,tRNA (guanine-N1)-methyltransferase,macromolecule synthesis/modification,Cytoplasmic,
BP2566,-,774,1,0,1,0.00129,1.4910,putative exported endonulease,macromolecule degradation,Extracellular,
BP3838,-,774,1,1,0,0.00129,1.4900,ubiE/COQ5 methyltransferase family protein,miscellaneous,Cytoplasmic,
BP0161,ubiE,777,1,1,0,0.00129,1.4914,ubiquinone/menaquinone biosynthesis methyltransferase,cofactor biosynthesis,Cytoplasmic,
BP0279,-,777,1,1,0,0.00129,1.4905,conserved hypothetical protein,conserved hypothetical,Cytoplasmic,
BP1068,phoT,777,1,1,0,0.00129,1.4895,phosphate transport ATP-binding protein,central/intermediary metabolism,Cytoplasmic Membrane,-
BP1297,-,777,1,1,0,0.00129,1.4886,putative lipoate-protein ligase A,cofactor biosynthesis,Cytoplasmic,
BP1606,fpr,777,1,1,0,0.00129,1.4876,ferredoxin--NADP reductase,energy metabolism,Cytoplasmic,
BP2013,-,777,1,0,1,0.00129,1.4867,conserved hypothetical protein,conserved hypothetical,Unknown,
BP2334,-,3885,5,2,3,0.00129,1.5018,putative ATP-dependent helicase,macromolecule synthesis/modification,Cytoplasmic,
BP2396,-,1554,2,1,1,0.00129,1.4943,putative binding-protein-dependent transport periplasmic protein,transport/binding proteins,Periplasmic,+
BP3561,-,777,1,1,0,0.00129,1.4857,putative peptidyl-prolyl cis-trans isomerase,cell surface,Periplasmic,+
BP2722,-,2337,3,2,1,0.00128,1.5034,putative membrane transport ATPase,transport/binding proteins,Cytoplasmic Membrane,-
BP0464,idnO,780,1,0,1,0.00128,1.4880,gluconate 5-dehydrogenase,small molecule degradation,Cytoplasmic,
BP1060,ubiD,1560,2,2,0,0.00128,1.4954,3-octaprenyl-4-hydroxybenzoate carboxy-lyase,cofactor biosynthesis,Cytoplasmic,
BP1163,-,780,1,1,0,0.00128,1.4871,probable short-chain dehydrogenase,miscellaneous,Cytoplasmic,
BP1535,-,1560,2,1,1,0.00128,1.4944,putative thiamine-pyrophosphate-requiring enzyme,miscellaneous,Cytoplasmic,
BP3848,-,780,1,0,1,0.00128,1.4861,putative enoyl-CoA hydratase/isomerase,miscellaneous,Cytoplasmic,
BP1005,-,2349,3,0,3,0.00128,1.5027,conserved hypothetical protein,conserved hypothetical,Unknown,
BP1902,ssyA,783,1,0,1,0.00128,1.4875,inositol-1-monophosphatase,miscellaneous,Cytoplasmic,
BP3122,-,783,1,0,1,0.00128,1.4866,putative membrane protein,cell surface,Cytoplasmic Membrane,
BP0417,-,786,1,1,0,0.00127,1.4889,probable enoyl-CoA hydratase,small molecule degradation,Cytoplasmic,
BP0627,-,786,1,0,1,0.00127,1.4879,probable enoyl-CoA hydratase/isomerase,miscellaneous,Cytoplasmic,-
BP1378,fla FVII,786,1,0,1,0.00127,1.4870,flagellar basal-body rod protein FlgG,cell processes,Extracellular,
BP1436,pps,2364,3,2,1,0.00127,1.5010,phosphoenolpyruvate synthase,central/intermediary metabolism,Cytoplasmic,
BP0343,bhuV,789,1,0,1,0.00127,1.4893,putative ATP-binding component of hemin transport system,adaptation,Cytoplasmic Membrane,
BP1256,-,789,1,0,1,0.00127,1.4883,putative carboxymethylenebutenolidase,central/intermediary metabolism,Unknown,-
BP1389,flaP,789,1,0,1,0.00127,1.4874,flagellar biosynthetic protein FliR,cell processes,Cytoplasmic Membrane,
BP1829,-,1578,2,0,2,0.00127,1.4965,lipoprotein,cell surface,Outer Membrane,+
BP2112,-,789,1,1,0,0.00127,1.4864,putative oxidoreductase,miscellaneous,ND,
BP2643,glpR,789,1,0,1,0.00127,1.4855,glycerol-3-phosphate regulon repressor protein,regulation,Cytoplasmic,
BP3044,lgt,789,1,1,0,0.00127,1.4845,prolipoprotein diacylglyceryl transferase,macromolecule synthesis/modification,Cytoplasmic Membrane,
BP1603,-,791,1,0,1,0.00126,1.4857,probable ATP-binding component of ABC transporter (Pseudogene),pseudogenes,ND,
BP3329,-,2373,3,1,2,0.00126,1.4960,putative outer membrane (permeability) protein,cell surface,Outer Membrane,
BP1144,tex,2376,3,2,1,0.00126,1.4930,transcription accessory protein,macromolecule synthesis/modification,Cytoplasmic,
BP1485,-,1584,2,0,2,0.00126,1.4974,putative membrane protein,cell surface,Unknown,
BP1532,-,792,1,0,1,0.00126,1.4859,putative amino acid-binding periplasmic protein,transport/binding proteins,Periplasmic,-
BP2511,-,792,1,0,1,0.00126,1.4849,putative hydrolase,miscellaneous,Cytoplasmic,
BP3702,-,792,1,0,1,0.00126,1.4840,GntR-family transcriptional regulator,regulation,Cytoplasmic,
BP0284,-,1587,2,1,1,0.00126,1.4969,"probable extracellular solute-binding protein, family 5",transport/binding proteins,Periplasmic,
BP0229,-,794,1,0,1,0.00126,1.4842,beta-D-hydroxybutyrate dehydrogenase,miscellaneous,Cytoplasmic,
BP0308,-,794,1,1,0,0.00126,1.4833,probable short chain dehydrogenase (Pseudogene),pseudogenes (phase-variable),ND,
BP0056,gltJ,795,1,1,0,0.00126,1.4834,glutamate/aspartate transport system permease protein,transport/binding proteins,Cytoplasmic Membrane,-
BP1074,-,795,1,1,0,0.00126,1.4825,conserved hypothetical protein,conserved hypothetical,Cytoplasmic,-
BP1431,lpxA,795,1,0,1,0.00126,1.4816,acyl-[acyl-carrier-protein]--UDP-N-acetylglucos amine O-acyltransferase,macromolecule synthesis/modification,Cytoplasmic,
BP1702,-,795,1,0,1,0.00126,1.4806,probable enoyl-CoA hydratase/isomerase,miscellaneous,Cytoplasmic,
BP1875,-,795,1,1,0,0.00126,1.4797,conserved hypothetical protein,conserved hypothetical,Cytoplasmic,
BP3416,purH,1590,2,0,2,0.00126,1.4974,bifunctional purine biosynthesis protein,ribonucleotide biosynthesis,Cytoplasmic,
BP2624,guaA,1593,2,2,0,0.00126,1.4959,GMP synthase [glutamine-hydrolyzing],ribonucleotide biosynthesis,Cytoplasmic,
BP1352,-,798,1,0,1,0.00125,1.4819,conserved hypothetical protein,conserved hypothetical,Cytoplasmic Membrane,
BP2307,-,1599,2,1,1,0.00125,1.4958,conserved ATP-binding protein,miscellaneous,Unknown,
BP2913,-,800,1,0,1,0.00125,1.4812,conserved hypothetical protein,unknown,Unknown,
BP0119,-,801,1,0,1,0.00125,1.4813,inner membrane component of binding-protein-dependent transport system,transport/binding proteins,Cytoplasmic Membrane,
BP1211,-,801,1,0,1,0.00125,1.4804,putative exported protein,cell surface,Unknown,
BP2662,-,801,1,1,0,0.00125,1.4795,putative aldolase,miscellaneous,Cytoplasmic,-
BP3213,gloB,801,1,1,0,0.00125,1.4786,probable hydroxyacylglutathione hydrolase,miscellaneous,Cytoplasmic,
BP3310,paaH,801,1,1,0,0.00125,1.4776,putative 3-hydroxyacyl-CoA dehydrogenase (pseudogene),pseudogenes,ND,
BP3531,tonB,801,1,1,0,0.00125,1.4767,siderophore-mediated iron transport protein,adaptation,Unknown,
BP0835,-,804,1,1,0,0.00124,1.4761,putative membrane protein,cell surface,Cytoplasmic Membrane,+
BP2592,-,804,1,0,1,0.00124,1.4752,ABC transport protein inner membrane component,transport/binding proteins,Cytoplasmic Membrane,
BP2651,-,804,1,0,1,0.00124,1.4743,conserved hypothetical protein,conserved hypothetical,Unknown,
BP3052,-,1608,2,1,1,0.00124,1.4981,putative gamma-glutamyltranspeptidase,miscellaneous,Periplasmic,
BP2392,-,805,1,1,0,0.00124,1.4735,putative transport protein (pseudogene),pseudogenes,ND,
BP0613,-,807,1,0,1,0.00124,1.4746,probable transcriptional regulator,regulation,Cytoplasmic,
BP2063,-,807,1,1,0,0.00124,1.4737,conserved hypothetical protein,miscellaneous,Cytoplasmic,
BP2071,-,807,1,0,1,0.00124,1.4728,putative molybdenum-binding protein,transport/binding proteins,Cytoplasmic,
BP2939,-,807,1,0,1,0.00124,1.4719,putative LysR-family transcriptional regulator,regulation,Cytoplasmic,
BP2860,-,2427,3,0,3,0.00124,1.4965,probable cation-transporting ATPase,transport/binding proteins,Cytoplasmic Membrane,+
BP0398,-,1620,2,0,2,0.00123,1.5008,putative membrane protein,cell surface,Cytoplasmic Membrane,+
BP0886,-,810,1,0,1,0.00123,1.4740,conserved hypothetical protein,conserved hypothetical,Unknown,
BP2509,dapB,810,1,0,1,0.00123,1.4731,dihydrodipicolinate reductase,amino acid biosynthesis,Cytoplasmic,
BP1453,carB,3243,4,1,3,0.00123,1.4974,carbamoyl-phosphate synthase large chain,amino acid biosynthesis,Unknown,
BP3461,-,1622,2,1,1,0.00123,1.4984,bacterial extracellular solute-binding protein (pseudogene),pseudogenes,ND,
BP1927,-,1625,2,2,0,0.00123,1.4969,conserved hypothetical protein (Pseudogene),pseudogenes,ND,
BP0145,-,813,1,1,0,0.00123,1.4743,putative enoyl-CoA hydratase/isomerase,miscellaneous,Cytoplasmic,
BP2093,-,813,1,0,1,0.00123,1.4734,enoyl-CoA hydratase/isomerase-like protein,miscellaneous,Cytoplasmic,
BP2640,-,813,1,0,1,0.00123,1.4725,"putative ABC transport protein, inner membrane component",transport/binding proteins,Cytoplasmic Membrane,
BP3747,-,813,1,1,0,0.00123,1.4716,conserved hypothetical protein,conserved hypothetical,Periplasmic,
BP0172,miaD,1632,2,1,1,0.00123,1.4965,peptide chain release factor 3,macromolecule synthesis/modification,Cytoplasmic,
BP0178,-,816,1,1,0,0.00123,1.4719,putative lipoprotein,unknown,Unknown,
BP0727,-,816,1,0,1,0.00123,1.4710,probable transcriptional regulator,regulation,Cytoplasmic,
BP0834,-,816,1,1,0,0.00123,1.4701,probable DNA repair exonuclease,macromolecule synthesis/modification,Unknown,
BP0923,-,816,1,1,0,0.00123,1.4692,conserved hypothetical protein,conserved hypothetical,Cytoplasmic,
BP1320,-,816,1,1,0,0.00123,1.4683,conserved hypothetical protein,conserved hypothetical,Cytoplasmic,+
BP3764,-,816,1,0,1,0.00123,1.4674,putative ABC-2 type transporter protein,transport/binding proteins,Cytoplasmic Membrane,
BP3854,-,816,1,1,0,0.00123,1.4665,ABC transporter ATP-binding protein,transport/binding proteins,Cytoplasmic Membrane,
BP2591,-,1635,2,2,0,0.00122,1.4969,"ABC transport protein, ATP-binding component",transport/binding proteins,Cytoplasmic Membrane,
BP1835,-,819,1,0,1,0.00122,1.4659,putative exported protein,cell surface,Unknown,
BP1990,-,819,1,1,0,0.00122,1.4650,putative membrane protein,cell surface,Cytoplasmic Membrane,
BP3672,-,819,1,1,0,0.00122,1.4641,hypothetical protein,unknown,Unknown,-
BP0429,-,1641,2,1,1,0.00122,1.4938,delta-1-pyrroline-5-carboxylate dehydrogenase precursor,amino acid biosynthesis,Cytoplasmic,
BP0123,-,822,1,0,1,0.00122,1.4662,putative cAMP phosphodiesterase,small molecule degradation,Cytoplasmic,
BP0626,-,822,1,0,1,0.00122,1.4653,probable 2-oxo acid dehydrogenases acyltransferase (pseudogene),miscellaneous,ND,-
BP1745,-,822,1,1,0,0.00122,1.4644,putative exported protein,cell surface,Unknown,
BP1764,dapD,822,1,0,1,0.00122,1.4635,"2,3,4,5-tetrahydropyridine-2-carboxylate N-succinyltransferase",central/intermediary metabolism,Cytoplasmic,
BP2084,-,822,1,1,0,0.00122,1.4626,conserved hypothetical protein,conserved hypothetical,Cytoplasmic,
BP2114,-,822,1,1,0,0.00122,1.4617,putative hydrolase,miscellaneous,Cytoplasmic,
BP3020,ftsQ,822,1,0,1,0.00122,1.4608,putative cell division protein FtsQ,cell division,Unknown,
BP2117,-,823,1,0,1,0.00122,1.4600,putative transcriptional regulator (pseudogene),pseudogenes (phase-variable),ND,
BP0813,-,825,1,1,0,0.00121,1.4611,probable short-chain dehydrogenase,miscellaneous,Cytoplasmic,
BP1094,livG,825,1,0,1,0.00121,1.4602,high-affinity branched-chain amino acid transport ATP-binding protein,transport/binding proteins,Cytoplasmic,
BP1974,-,825,1,0,1,0.00121,1.4593,putative Sir2-like regulatory protein,regulation,Cytoplasmic,
BP2678,-,1653,2,1,1,0.00121,1.4904,putative oxidoreductase,miscellaneous,Cytoplasmic,-
BP3526,rnr,2481,3,1,2,0.00121,1.4951,putative ribonuclease R,macromolecule degradation,Cytoplasmic,
BP0915,-,828,1,0,1,0.00121,1.4605,probable inner membrane component of binding-protein-dependent transport system,transport/binding proteins,Cytoplasmic Membrane,
BP2449,-,828,1,1,0,0.00121,1.4596,putative exported hydrolase,central/intermediary metabolism,Cytoplasmic,
BP3482,-,828,1,1,0,0.00121,1.4587,putative transcriptional regulator,regulation,Cytoplasmic,
BP3550,-,828,1,1,0,0.00121,1.4578,AraC-family regulatory protein,regulation,Cytoplasmic,
BP0336,-,831,1,0,1,0.00120,1.4546,putative exported protein (pseudogene),unknown,ND,
BP1061,-,831,1,0,1,0.00120,1.4537,putative transglycosylase,miscellaneous,Unknown,-
BP3453,-,1662,2,1,1,0.00120,1.4867,putative acetolactate synthase large subunit,miscellaneous,Cytoplasmic,
BP0463,-,834,1,0,1,0.00120,1.4557,"ABC transporter, permease component",transport/binding proteins,Cytoplasmic Membrane,
BP1898,-,834,1,0,1,0.00120,1.4548,putative membrane protein,cell surface,Cytoplasmic Membrane,
BP3459,-,834,1,1,0,0.00120,1.4539,binding-protein-dependent transport systems inner membrane component,transport/binding proteins,Cytoplasmic Membrane,
BP3586,-,834,1,0,1,0.00120,1.4531,conserved hypothetical protein,conserved hypothetical,Cytoplasmic,
BP3668,-,834,1,1,0,0.00120,1.4522,transcriptional regulator,regulation,Cytoplasmic,
BP3687,-,834,1,1,0,0.00120,1.4513,putative dihydrodipicolinate synthase,amino acid biosynthesis,Cytoplasmic,+
BP0488,-,837,1,0,1,0.00119,1.4533,transcriptional regulator,regulation,Cytoplasmic,
BP0591,-,837,1,1,0,0.00119,1.4524,"oxidoreductase, medium chain",miscellaneous,Cytoplasmic,-
BP1463,-,837,1,1,0,0.00119,1.4516,putative lipoprotein,cell surface,Unknown,
BP3757,-,837,1,0,1,0.00119,1.4507,"putative ABC transporter, ATP-binding protein",transport/binding proteins,Cytoplasmic Membrane,
BP3066,-,839,1,1,0,0.00119,1.4517,putative methylenetetrahydrofolate reductase,amino acid biosynthesis,Cytoplasmic,
BP2907,fhaL,12591,15,4,11,0.00119,1.4507,adhesin,virulence-associated genes,Outer Membrane,+
BP2295,-,840,1,0,1,0.00119,1.4518,putative integral membrane transport protein,transport/binding proteins,Cytoplasmic Membrane,
BP3131,-,1680,2,1,1,0.00119,1.4849,putative oxygenase,miscellaneous,Cytoplasmic,-
BP3270,-,840,1,1,0,0.00119,1.4509,putative thiol:disulphide interchange protein (periplasmic),macromolecule synthesis/modification,Periplasmic,
BP3696,-,840,1,0,1,0.00119,1.4501,putative exported protein,cell surface,Periplasmic,
BP2001,-,843,1,0,1,0.00119,1.4520,putative lipoprotein,cell surface,Unknown,
BP2788,-,1689,2,1,1,0.00118,1.4830,hypothetical protein,miscellaneous,Cytoplasmic,
BP3043,ilvD,1689,2,1,2,0.00118,1.4821,dihydroxy-acid dehydratase,amino acid biosynthesis,Cytoplasmic,
BP0136,-,845,1,0,1,0.00118,1.4530,putative integral membrane protein (Pseudogene),pseudogenes,ND,
BP0495,-,1692,2,1,1,0.00118,1.4769,probable inner-membrane protein,cell surface,Cytoplasmic Membrane,
BP1116,-,846,1,1,0,0.00118,1.4514,conserved hypothetical protein,conserved hypothetical,Cytoplasmic,
BP1591,-,1692,2,1,1,0.00118,1.4759,methyl-accepting chemotaxis protein,cell processes,Cytoplasmic Membrane,
BP2143,-,1692,2,1,1,0.00118,1.4750,putative sulfate transporter,transport/binding proteins,Cytoplasmic Membrane,
BP2525,-,846,1,0,1,0.00118,1.4505,putative membrane protein,cell surface,Cytoplasmic Membrane,
BP2527,-,846,1,0,1,0.00118,1.4497,putative secretory protein,cell surface,Unknown,
BP1458,-,1695,2,1,1,0.00118,1.4735,probable permease component of ABC transporter,transport/binding proteins,Cytoplasmic Membrane,
BP0016,rpoC,4245,5,1,4,0.00118,1.4734,DNA-directed RNA polymerase beta chain,macromolecule synthesis/modification,Cytoplasmic,
BP0126,-,849,1,1,0,0.00118,1.4516,"ABC transporter, permease protein",transport/binding proteins,Cytoplasmic Membrane,
BP1975,-,852,1,1,0,0.00117,1.4526,putative inositol monophosphatase,miscellaneous,Cytoplasmic,
BP3762,-,854,1,0,1,0.00117,1.4536,probable ATP-binding ABC transporter protein (pseudogene),pseudogenes (phase-variable),ND,
BP1233,-,855,1,0,1,0.00117,1.4537,putative tryptophan oxygenase,small molecule degradation,Cytoplasmic,
BP1321,pdxK,855,1,0,1,0.00117,1.4528,pyridoxine kinase,central/intermediary metabolism,Cytoplasmic,+
BP1860,ilvG,1710,2,0,2,0.00117,1.4722,acetolactate synthase large subunit,amino acid biosynthesis,Cytoplasmic,
BP2115,-,855,1,0,1,0.00117,1.4519,conserved hypothetical protein,conserved hypothetical,Cytoplasmic,
BP3072,-,855,1,0,1,0.00117,1.4511,putative acyltransferase,cell surface,Cytoplasmic Membrane,
BP3254,-,855,1,0,1,0.00117,1.4502,putative formyltetrahydrofolate deformylase,ribonucleotide biosynthesis,Cytoplasmic,
BP3500,-,1710,2,1,1,0.00117,1.4713,putative dehydrogenase,conserved hypothetical,Cytoplasmic Membrane,-
BP0703,-,1713,2,1,1,0.00117,1.4661,N-terminal region of TonB dependent receptor protein (Pseudogene),pseudogenes,ND,
BP1226,-,1715,2,1,1,0.00117,1.4666,putative exported protein (pseudogene),pseudogenes (phase-variable),ND,-
BP0789,ilvI,1716,2,0,2,0.00117,1.4664,acetolactate synthase large subunit,amino acid biosynthesis,Cytoplasmic,
BP1424,cds,858,1,0,1,0.00117,1.4521,phosphatidate cytidylyltransferase,macromolecule synthesis/modification,Cytoplasmic Membrane,
BP0286,-,861,1,1,0,0.00116,1.4531,probable transcriptional regulator,regulation,Cytoplasmic,
BP0651,dld,1722,2,0,2,0.00116,1.4607,D-lactate dehydrogenase,energy metabolism,Cytoplasmic Membrane,
BP0710,-,861,1,1,0,0.00116,1.4523,putative endonuclease/exonuclease/phosphatase family protein,miscellaneous,Cytoplasmic,
BP0925,-,861,1,0,1,0.00116,1.4514,putative fumarylacetoacetate-family hydrolase,miscellaneous,Cytoplasmic,
BP1178,-,864,1,0,1,0.00116,1.4533,putative membrane protein,cell surface,Cytoplasmic Membrane,
BP2021,acnB,2592,3,1,2,0.00116,1.4589,putative aconitate hydratase,energy metabolism,Cytoplasmic,
BP2278,-,864,1,0,1,0.00116,1.4524,putative transcriptional regulator,regulation,Cytoplasmic,
BP0950,rpsA,1731,2,0,2,0.00116,1.4562,30S ribosomal protein S1,ribosome constituents,ND,
BP2638,-,1731,2,0,2,0.00116,1.4553,putative exported protein,cell surface,Periplasmic,
BP3348,drpA,1731,2,2,0,0.00116,1.4544,prolyl-tRNA synthetase,macromolecule synthesis/modification,Cytoplasmic,
BP2220,-,2597,3,1,2,0.00116,1.4573,conserved inner membrane protein,cell surface,Cytoplasmic Membrane,+
BP1417,glnD,2598,3,0,3,0.00115,1.4570,[protein-PII] uridylyltransferase,amino acid biosynthesis,Cytoplasmic,
BP0752,-,867,1,0,1,0.00115,1.4543,LysR-family transcriptional regulator,regulation,Cytoplasmic,
BP1344,-,2601,3,2,1,0.00115,1.4551,autotransporter,virulence-associated genes,Outer Membrane,
BP3316,copB,867,1,1,0,0.00115,1.4534,copper resistance protein,adaptation,Outer Membrane,
BP0345,bhuT,870,1,0,1,0.00115,1.4544,putative hemin binding protein,adaptation,Periplasmic,
BP2426,-,870,1,1,0,0.00115,1.4535,conserved hypothetical protein,unknown,Unknown,
BP3705,-,870,1,1,0,0.00115,1.4527,ABC transporter ATP-binding protein,transport/binding proteins,Cytoplasmic Membrane,-
BP0690,-,873,1,1,0,0.00115,1.4545,conserved hypothetical protein,conserved hypothetical,Unknown,
BP2332,dnaE,3492,4,3,1,0.00115,1.4528,DNA polymerase III alpha subunit,macromolecule synthesis/modification,Cytoplasmic,
BP1876,bvgR,876,1,1,0,0.00114,1.4537,regulatory protein BvgR,virulence-associated genes,Unknown,+
BP2151,-,876,1,0,1,0.00114,1.4529,putative oxidoreductase,miscellaneous,Cytoplasmic,
BP2896,-,876,1,0,1,0.00114,1.4520,putative hydrolase,miscellaneous,Cytoplasmic,
BP3740,coIII,876,1,1,0,0.00114,1.4512,"putative cytochrome c oxidase, subunit III",energy metabolism,Cytoplasmic Membrane,-
BP0252,ggt,1755,2,0,2,0.00114,1.4529,gamma-glutamyltranspeptidase,cofactor biosynthesis,Periplasmic,
BP1326,-,1755,2,1,1,0.00114,1.4520,probable alpha amylase,small molecule degradation,Cytoplasmic,
BP1095,livH,879,1,1,0,0.00114,1.4513,high-affinity branched-chain amino acid transport system permease protein,transport/binding proteins,Cytoplasmic Membrane,
BP1420,tsf,879,1,1,0,0.00114,1.4504,elongation factor Ts,macromolecule synthesis/modification,Cytoplasmic,
BP1570,dapA,879,1,0,1,0.00114,1.4496,dihydrodipicolinate synthase,amino acid biosynthesis,Cytoplasmic,
BP2606,-,879,1,0,1,0.00114,1.4487,putative exported protein,cell surface,Unknown,
BP3207,-,879,1,0,1,0.00114,1.4479,putative fatty acid desaturase,miscellaneous,Cytoplasmic Membrane,
BP1282,ugpA,882,1,1,0,0.00113,1.4497,"sn-glycerol-3-phosphate transport system, permease protein",transport/binding proteins,Cytoplasmic Membrane,
BP2694,-,882,1,0,1,0.00113,1.4488,LysR-family transcriptional regulator,regulation,Cytoplasmic,
BP3429,-,882,1,0,1,0.00113,1.4480,putative branched-chain amino acid transport permease,transport/binding proteins,Cytoplasmic Membrane,
BP3853,-,882,1,1,0,0.00113,1.4471,ABC transporter permease protein,transport/binding proteins,Cytoplasmic Membrane,
BP0333,-,885,1,0,1,0.00113,1.4481,metallo-beta-lactamase family protein,miscellaneous,Cytoplasmic,
BP2152,-,885,1,1,0,0.00113,1.4472,putative lysR-family transcriptional regulator,regulation,Cytoplasmic,
BP2404,-,885,1,1,0,0.00113,1.4464,conserved hypothetical protein,conserved hypothetical,Cytoplasmic,-
BP2713,-,885,1,1,0,0.00113,1.4455,putative hydrolase,miscellaneous,Unknown,
BP3096,-,885,1,0,1,0.00113,1.4447,putative hydrolase,miscellaneous,Unknown,+
BP3290,-,885,1,0,1,0.00113,1.4439,hypothetical protein,unknown,Unknown,-
BP3276,-,1773,2,1,1,0.00113,1.4516,conserved hypothetical protein,conserved hypothetical,Unknown,+
BP0265,-,887,1,0,1,0.00113,1.4448,probable LysR-family transcriptional regulator (Pseudogene),pseudogenes,ND,
BP1038,corC,888,1,0,1,0.00113,1.4448,magnesium and cobalt efflux protein,transport/binding proteins,Cytoplasmic Membrane,
BP1539,-,888,1,0,1,0.00113,1.4439,probable LysR-familyt ranscriptional regulator,regulation,Cytoplasmic,
BP1614,-,888,1,0,1,0.00113,1.4431,probable LysR family transcriptional regulator,regulation,Cytoplasmic,
BP2493,-,888,1,0,1,0.00113,1.4423,putative ATP-binding protein,miscellaneous,Cytoplasmic,
BP3822,-,888,1,1,0,0.00113,1.4414,conserved hypothetical protein,conserved hypothetical,Cytoplasmic,
BP0300,-,891,1,0,1,0.00112,1.4432,putative esterase,miscellaneous,Unknown,
BP0643,-,891,1,0,1,0.00112,1.4423,LysR-family transcriptional regulator,regulation,Cytoplasmic,
BP2408,-,891,1,0,1,0.00112,1.4415,putative integral membrane protein,cell surface,Cytoplasmic Membrane,
BP2208,-,2675,3,2,1,0.00112,1.4521,putative DNA polymerase III alpha chain (pseudogene),pseudogenes,ND,
BP2641,-,892,1,0,1,0.00112,1.4407,"putative ABC transport protein, inner membrane component (pseudogene)",pseudogenes (phase-variable),ND,
BP0045,-,894,1,1,0,0.00112,1.4407,putative membrane protein,cell surface,Cytoplasmic Membrane,
